domain,icp_score,reasoning,email_hook,input_tokens,output_tokens,raw_context,enriched_at
compass.com,90,"Compass is a large, tech-forward real estate technology company with an existing end-to-end platform, indicating strong potential for AI automation to enhance its extensive operations.","Recognizing Compass's position as a real estate technology company leveraging a powerful end-to-end platform, we see a strong opportunity to integrate AI automation within your vast operations.",254,98,"Compass | 385,654 followers on LinkedIn. Compass is a real estate technology company with a powerful end-to-end platform that supports the entire buying and selling workflow. We deliver an ... | The Funding and Tenders Portal is the single entry point (the Single Electronic Data Interchange Area) fo...",2026-09-18T12:37:26Z
kellerwilliams.com,88,"Keller Williams, as the world's largest real estate franchise, demonstrates significant scale and recent substantial growth with $9.4 billion in commercial transaction volume.","Given Keller Williams' reported $9.4 billion in commercial transaction volume through August 2026, representing a 12.3% increase, we believe AI automation could significantly enhance your rapidly growing operations.",241,103,"Browse the latest official press releases, announcements, and news from Keller Williams Realty International — the world's largest real estate franchise. | AUSTIN, Texas-- (BUSINESS WIRE)-- Keller Williams Realty, LLC (KW), the world's largest real estate franchise, reports that its affiliated broke...",2026-09-18T12:37:41Z
remax.com,65,"Remax's large scale suggests high potential for AI automation, but the provided context does not offer specific evidence of their recent tech adoption or funding.","Considering TechCrunch's recent coverage of the latest funding news and the 'hottest new AI startup,' exploring how AI automation could streamline operations at Remax aligns with current industry trends.",220,87,"4 days ago · Explore US funding updates for 2026 with StartupTalky’s weekly tables covering funding amounts, sectors, and key investors. Track the latest funding news in the USA. | TechCrunch | Reporting on the business of technology, startups, venture capital funding, and Silicon Valley | May 27, 2...",2026-09-18T12:38:02Z
century21.com,65,"Century 21 is a large, established real estate franchise, indicating significant potential for AI automation, though recent tech adoption or specific funding for such initiatives is not detailed.","Given the market appeal of modern, technology-driven brokerages to agents, how is Century 21 leveraging AI automation to enhance its competitive position?",226,84,"Century 21 Real Estate is an American real estate agent franchise company founded in 1971. Growth Score - The measure of growth based on company activity, ... | 19-Feb-2026 · The findings show that luxury real estate evolved steadily over the course of 2025, ultimately creating a more balanced and a...",2026-09-18T12:38:23Z
coldwellbanker.com,85,"Coldwell Banker is a large, established real estate brand with a strong historical commitment to adopting technology to support its agents and operations.","Given Coldwell Banker's readiness for technology taking real estate by storm in 2019 and their continuous provision of state-of-the-art tools, we believe our AI automation solutions align perfectly with your ongoing innovation.",257,101,"27-Aug-2015 · As an innovator in real estate, Coldwell Banker Real Estate continues to provide state-of-the art technology to support the home buying and ... | Razia Akhtar is a Real Estate Agent with Coldwell Banker Realty. (612) 414-6024 (Home) Technology Coldwell Banker Burnet has always led the ...",2026-09-18T12:38:33Z
sothebysrealty.com,78,"Sotheby's International Realty is a massive organization with significant recent acquisitions and funding, indicating a strong need for operational efficiency, though explicit AI adoption is not detailed.","Given the recent $1.6 billion deal that created the world's largest residential real estate brokerage, we believe AI automation could significantly streamline your newly expanded operations.",252,94,"Sotheby's International Realty Founded in 1976, Sotheby's International Realty was created to connect top independent real estate firms with prestigious clients worldwide. A subsidiary of Anywhere Real Estate Inc. (NYSE: HOUS), it offers franchising, brokerage, and relocation services. | The $1.6 bi...",2026-09-18T12:38:45Z
exprealty.com,65,"The lead operates in the real estate sector, which is actively undergoing a tech transformation with AI, but specific details on exprealty.com's size, current tech adoption, or recent funding are not provided.","Given the massive transformation in the real estate technology landscape, driven by cutting-edge artificial intelligence tools, we believe there's a significant opportunity for companies like yours to streamline operations.",260,99,"Real estate technology comes in many forms, and it can be classified as any website, app or software used to find, sell or manage real estate. Real estate tech overlaps with proptech (property tech), which is typically used by real estate professionals, underwriters, developers, property managers, t...",2026-09-18T12:38:58Z
redfin.com,95,"Redfin is a large, tech-forward real estate company undergoing a significant acquisition, indicating both a propensity for technology adoption and available budget.","Congratulations on the recent news regarding Rocket Companies' $1.75 billion acquisition of Redfin, which positions you for significant growth and integration with expansive fintech platforms.",281,89,"Get the latest real estate news and research about the housing market, home prices, bidding wars, predictions, and hottest neighborhoods from tech-powered real estate company Redfin. | This story originally appeared on GeekWire, which covers technology and business, including the real estate industr...",2026-09-18T12:39:07Z
zillow.com,90,"Zillow is a large, highly tech-forward real estate company demonstrating significant growth and investment through platform expansion and recent acquisitions.","We noticed Zillow's 'Tech PLACE' is poised to 'dramatically expand' amid a new acquisition, suggesting a prime opportunity for AI automation to support your rapid growth.",222,82,"Zillow, officially known as Zillow Group, Inc., is an American tech real-estate marketplace company that was founded in 2006 by co-executive chairmen ... | 06-Oct-2025 · The first-of-its-kind Zillow app brings the power of real listings, financing and housing insights to everyday conversations. | Zi...",2026-09-18T12:39:21Z
realtyonegroup.com,85,"Realty ONE Group is clearly tech-forward, recognizing the increasing importance of artificial intelligence and automation in the real estate industry, and is focused on growth.","Given Realty ONE Group's acknowledgement that artificial intelligence and automation are increasingly important across the real estate industry, we believe our solutions can significantly support your growth goals for 2025.",218,89,"For Realty ONE Group, 2025 is poised to be a year of growth, Focused on Growth and Innovation | 04-Jun-2026 · Technology That Supports Growth. As artificial intelligence and automation become increasingly important across the real estate industry, Realty ... | 04-May-2021 · Our company's full-servic...",2026-09-18T12:39:36Z
